,cleaned_cs,changing topics,making a joke,quoting,borrowing,translations,giving a command,using a filler,exasperation,happiness,proper nouns,surprise,bert_ready
10,"*MAR:no te cuesta nada . _*MAR:bueno pero por lo bueno el xxx dice +""/. _*MAR:ellos son brokers@s:eng . _*MAR:eso es lo que hacen ellos . _",0,0,0,1,0,0,0,0,0,0,0,no te cuesta nada bueno pero por lo bueno el dice ellos son brokers eso es lo que hacen ellos
11,*MAR:huh ? _*OSE:www .*MAR:but I guess now I'm wearing it every day . _*MAR:no@s:eng&spa si@s:spa él@s:spa me@s:spa lo@s:spa dijo@s:spa el@s:spa domingo@s:spa (be)cause he went to our [/] (.) <our mom> [//] my mother in law's house . _*MAR:yo@s:spa le@s:spa invité@s:spa pa@s:spa Easter porque@s:spa me@s:spa daba@s:spa pena@s:spa el@s:spa pobre@s:spa aquí@s:spa solo@s:spa sin@s:spa familia@s:spa ni@s:spa nada@s:spa . _,1,0,0,0,0,0,0,0,0,1,0,huh but I guess now I'm wearing it every day no si él me lo dijo el domingo because he went to our our mom my mother in law's house yo le invité pa Easter porque me daba pena el pobre aquí solo sin familia ni nada
12,"*MAR:[- spa] me dice +""/. _*MAR:so we (.) had him over for Easter [=! background_noises] . _*MAR:yo@s:spa le@s:spa invité@s:spa pa@s:spa Easter porque@s:spa me@s:spa daba@s:spa pena@s:spa el@s:spa pobre@s:spa aquí@s:spa solo@s:spa sin@s:spa familia@s:spa ni@s:spa nada@s:spa . _*MAR:+"" poor Katie@s:eng&spa and Rosa@s:spa and you know . _*MAR:oye@s:spa y@s:spa compraron@s:spa un@s:spa suitcase con@s:spa (.) un@s:spa briefcase@s:spa ? _*OSE:+< www .",1,0,1,1,0,0,0,0,0,1,0,me dice poor Katie and Rosa and you know oye y compraron un suitcase con un briefcase
13,*MAR:quién@s:spa xxx that one ? _*OSE:+< www .*MAR:coño está +/. _*OSE:www .*MAR:coño@s:spa that's [//] that diez@s:spa dólares@s:spa na@s:spa más@s:spa +!? _*MAR:that's really cheap ! _,1,0,0,0,0,0,0,0,0,0,1,quién that one coño está coño that's that diez dólares na más that's really cheap
14,*MAR:[- spa] cuánto le habrán pagado pa las fotos <de los> [/] de los &=noise niños ? _*OSE:www .*MAR:lo@s:spa dieron@s:spa a@s:spa [//] con@s:spa charity I hope ? _*OSE:www .*MAR:[- spa] a ver . _,1,0,0,1,0,0,1,0,0,0,0,cuánto le habrán pagado pa las fotos de los de los niños lo dieron a con charity I hope a ver
15,*MAR:what do you mean she's doing a triathlon ? _*OSE:www .*MAR:[- spa] a ver . _*OSE:www .*MAR:[- spa] ay por favor . _*OSE:+< www .*MAR:[- spa] sh@s:eng&spa por favor ! _,1,0,0,0,0,1,1,1,0,0,0,what do you mean she's doing a triathlon a ver ay por favor sh por favor
16,*MAR:[- spa] sh@s:eng&spa por favor ! _*OSE:+< www .*MAR:[- spa] ay por favor . _*MAR:[- spa] el cuarto [=! mumbles] +... _*MAR:déjame@s:spa but [=! mumbles] +... _,1,0,0,0,0,0,0,0,0,0,0,el cuarto déjame but
17,*MAR:[- spa] bueno él es portorro también . _*MAR:[- spa] le gustan las por(torriqueñas) +//. _*MAR:<too f@s:eng&spa> [///] ay@s:eng&spa no@s:eng&spa +//. _*OSE:+< www .*MAR:there's nothing fun about it . _*OSE:www .,1,0,0,0,0,0,0,1,0,0,0,bueno él es portorro también le gustan las portorriqueñas too f ay no there's nothing fun about it
18,*OSE:www .*MAR:it's eighteen fifties you know . _*OSE:+< www .*MAR:no@s:eng&spa it looks like nineteens [//] eighteen [/] eighteen fifties room . _*MAR:+< [- spa] espérate [/] espérate . _*MAR:[- spa] aquí tienen (.) lo mismo que tienen los hijos míos la medalla . _,1,0,0,0,0,1,0,0,0,0,0,it's eighteen fifties you know no it looks like nineteens eighteen eighteen fifties room espérate espérate aquí tienen lo mismo que tienen los hijos míos la medalla
19,"*MAR:[- spa] &=coughs t(odo) [//] es todo blanco . _*MAR:[- spa] y aquí está el rosado &=bang . _*MAR:[- spa] es muy formal . _*OSE:www .*MAR:+"" <the let> [///] &=sighs when the umbilical cords fell off I cried [=! reads] . _",1,0,0,0,0,0,0,0,0,0,0,todo es todo blanco y aquí está el rosado bang es muy formal the let when the umbilical cords fell off I cried
20,"*MAR:+"" that was the last attachment we had [=! reads] . _*MAR:+"" <the let> [///] &=sighs when the umbilical cords fell off I cried [=! reads] . _*OSE:www .*MAR:[- spa] espérate [/] espérate . _*MAR:+"" I miss feeling them inside of me . _*MAR:says Jennifer +"". _",1,0,1,0,0,1,0,0,0,0,0,that was the last attachment we had the let sighs when the umbilical cords fell off I cried espérate espérate I miss feeling them inside of me says Jennifer
21,*MAR:even with twins . _*OSE:www .*MAR:[- spa] cincuenta libras . _*OSE:+< www .*MAR:[- spa] sí exacto [=! laughs] . _*OSE:www .*MAR:no@s:eng&spa olvídate@s:spa al@s:spa día@s:spa siguien(te)@s:spa +//. _,1,0,0,0,0,0,0,0,0,0,0,even with twins cincuenta libras sí exacto no olvídate al día siguiente
22,"*MAR:[- spa] sí exacto [=! laughs] . _*OSE:+< www .*MAR:forty [//] maybe even forty or forty five with twins . _*MAR:+"" designers Dolce@s:eng&spa and Gabbana@s:eng&spa presented the babies with custom-made fur wraps [=! reads] . _*OSE:www .*MAR:+< [- spa] dónde están ? _*OSE:+< www .",1,0,0,0,0,0,0,0,0,0,0,sí exacto forty maybe even forty or forty five with twins designers Dolce and Gabbana presented the babies with custommade fur wraps dónde están
23,"*MAR:el@s:spa pink . _*OSE:www .*MAR:+< oh@s:eng&spa (.) the one here where they were laying in them ? _*OSE:+< www .*MAR:el@s:spa pobre@s:spa Max@s:eng&spa lo@s:spa [/] lo@s:spa [/] lo@s:spa rodean@s:spa de@s:spa rosadito@s:spa . _*MAR:+"" it's just made me feel so good [=! reads] . _",1,0,0,1,0,0,0,0,1,1,0,el pink oh the one here where they were laying in them el pobre Max lo lo lo rodean de rosadito it's just made me feel so good
24,"*MAR:+"" that my children were being welcomed into the [=! reads] +//. _*MAR:+"" it's just made me feel so good [=! reads] . _*MAR:olvídate@s:spa si@s:spa tiene@s:spa como@s:spa tres@s:spa trainers ! _*MAR:[- spa] tiene un cocinero ! _",1,0,0,1,0,1,0,0,0,0,0,that my children were being welcomed into the olvídate si tiene como tres trainers tiene un cocinero
25,*MAR:my mom didn't breastfeed because she didn't have any milk . _*OSE:www .*MAR:oh@s:eng&spa she's not breastfeeding . _*OSE:www .*MAR:<they didn('t)> [///] er@s:eng&spa no@s:spa producía@s:spa . _*MAR:I mean like dos@s:spa goticas@s:spa de@s:spa nada@s:spa . _,1,0,0,0,0,0,1,0,0,0,0,my mom didn't breastfeed because she didn't have any milk oh she's not breastfeeding they didn't er no producía I mean like dos goticas de nada
26,*MAR:I mean like dos@s:spa goticas@s:spa de@s:spa nada@s:spa . _*MAR:<they didn('t)> [///] er@s:eng&spa no@s:spa producía@s:spa . _*MAR:le@s:spa daban@s:spa toda@s:spa clase@s:spa de@s:spa you know shakes and things to +//. _*MAR:[- spa] nada . _,1,0,0,0,0,0,1,0,0,0,0,I mean like dos goticas de nada they didn't er no producía le daban toda clase de you know shakes and things to nada
27,"*MAR:[- spa] nada . _*OSE:www .*MAR:[- spa] nada . _*MAR:[- spa] y ya con mi hermana dijo +""/. _*MAR:+"" phew@s:eng&spa forget it . _*MAR:+"" I'm not even gonna bother . _",0,0,1,0,0,0,0,0,0,0,0,nada nada y ya con mi hermana dijo phew forget it I'm not even gonna bother
28,"*MAR:[- spa] y mi hermana tampoco (.) <ni con> [/] ni con el grande ni con el chiquito &=coughs . _*MAR:+"" I'm not even gonna bother . _*MAR:[- spa] (es)tá puñetero . _*MAR:he looks very queer . _*MAR:+"" matching three thousand xxx [=! reads] . _",1,0,0,0,0,0,0,1,0,0,0,y mi hermana tampoco ni con ni con el grande ni con el chiquito I'm not even gonna bother está puñetero he looks very queer matching three thousand
29,"*MAR:[- spa] (es)tá puñetero . _*OSE:www .*MAR:I mean that's so posed . _*MAR:+"" gifts from pals Eva@s:spa Longoria@s:eng&spa and hairstylist Ken@s:eng&spa Paves@s:eng&spa [=! reads] . _*MAR:ay@s:spa please . _*MAR:+"" the nineteen sixty-two Mercedes was a Christmas gift for Jennifer@s:eng&spa from Marc@s:eng&spa along with a Himalayan cat named Misty [=! reads] . _",1,0,0,0,0,0,1,1,0,0,0,está puñetero I mean that's so posed gifts from pals Eva Longoria and hairstylist Ken Paves ay please the nineteen sixtytwo Mercedes was a Christmas gift for Jennifer from Marc along with a Himalayan cat named Misty
30,"*MAR:+"" the nineteen sixty-two Mercedes was a Christmas gift for Jennifer@s:eng&spa from Marc@s:eng&spa along with a Himalayan cat named Misty [=! reads] . _*MAR:ay@s:spa please . _*MAR:+"" gifts from pals Eva@s:spa Longoria@s:eng&spa and hairstylist Ken@s:eng&spa Paves@s:eng&spa [=! reads] . _*MAR:sí@s:spa un@s:spa convertible . _*MAR:[- spa] está lindo . _",0,0,0,1,0,0,0,0,1,0,0,sí un convertible está lindo
31,"*OSE:www .*MAR:ay@s:spa please . _*MAR:+"" three months of seclusion [=! reads] . _*MAR:&=laughs . _*MAR:[- spa] ay por favor ! _*OSE:www .*MAR:+< a public school . _",0,0,0,0,0,0,1,1,0,0,0,ay please three months of seclusion ay por favor a public school
32,*MAR:[- spa] ay por favor ! _*OSE:www .*OSE:www .*MAR:+< I didn't have any morning sickness . _*MAR:+< no@s:eng&spa porque@s:spa vive@s:spa en@s:spa Lon@s:eng&spag Island@s:eng&spa so the public schools are probably good . _*OSE:www .*MAR:they're so bad [//] (.) ugly . _,1,0,0,0,0,0,1,1,0,1,0,ay por favor I didn't have any morning sickness no porque vive en Long Island so the public schools are probably good they're so bad ugly
33,*MAR:you don't . _*OSE:www .*MAR:you don't ! _*OSE:www .*MAR:[- spa] pero es una +//. _*MAR:it [/] it's not a +//. _*MAR:it [/] it is a showing off coche@s:spa . _,1,0,0,1,1,0,0,0,0,0,0,you don't you don't pero es una it it's not a it it is a showing off coche
34,*MAR:pero@s:spa work is relative term . _*OSE:+< www .*MAR:+< it's not a practical +/. _*OSE:www .*MAR:con@s:spa dos@s:spa full +... _*MAR:[- spa] qué decía aquí ? _,1,0,0,1,0,0,0,0,0,0,0,pero work is relative term it's not a practical con dos full qué decía aquí
35,*MAR:two . _*OSE:www .*MAR:+< two [/] two baby nurses on around-the-clock duty . _*OSE:www .*MAR:[- spa] (en)tonces pa que rayos tú tienes dos mujeres ? _*MAR:[- spa] <pa que le estás> [///] le estás regalando el dinero . _,1,0,0,0,0,0,0,1,0,0,0,two two two baby nurses on aroundtheclock duty entonces pa que rayos tú tienes dos mujeres pa que le estás le estás regalando el dinero
36,*OSE:+< www .*MAR:+< [- spa] ay oye ! _*OSE:+< www .*MAR:no@s:eng&spa they look normal . _*MAR:they look normal Jackie@s:eng&spa por@s:spa favor@s:spa . _*OSE:+< www .,1,0,0,0,0,1,1,1,0,0,0,ay oye no they look normal they look normal Jackie por favor
37,*MAR:no@s:spa te@s:spa acuerdas@s:spa que@s:spa ese@s:spa era@s:spa el@s:spa lío@s:spa con@s:spa Tom@s:eng&spa Cruise@s:eng&spa (.) porque@s:spa la@s:spa niña@s:spa no@s:spa se@s:spa le@s:spa veía@s:spa la@s:spa foto@s:spa por@s:spa casi@s:spa seis@s:spa meses@s:spa que@s:spa +//. _*OSE:+< www .*MAR:yes they will . _*OSE:+< www .*MAR:+< [- spa] ay por favor . _*OSE:+< www .*MAR:+< ay@s:spa please . _,0,0,0,0,0,0,0,0,0,1,0,no te acuerdas que ese era el lío con Tom Cruise porque la niña no se le veía la foto por casi seis meses que
38,*MAR:+< in vitro is <your own> [/] your own genes . _*OSE:+< www .*MAR:+< so <what does that have to do with> [///] that's nothing to do with in vitro ? _*OSE:+< www .*MAR:+< no@s:eng&spa . _*OSE:www .*MAR:+< es@s:spa que@s:spa &=clap fraternal twins are not common at all . _,1,0,0,0,0,0,0,0,0,0,0,in vitro is your own your own genes so what does that have to do with that's nothing to do with in vitro no es que clap fraternal twins are not common at all
39,*MAR:and I could be wrong . _*MAR:that I know . _*MAR:that normally is +//. _*MAR:+< [- spa] pero in vitro no significa que no es [//] son los genes de ellos . _*OSE:www .*MAR:+< they take +/. _,1,0,0,1,0,0,0,0,0,0,0,and I could be wrong that I know that normally is pero in vitro no significa que no es son los genes de ellos they take
40,*OSE:www .*MAR:hoping it'll take . _*MAR:and then they put the embryo in . _*MAR:in fact I was watching (.) las@s:spa noticias@s:spa . _*MAR:y@s:spa había@s:spa una@s:spa mujer@s:spa que@s:spa salió@s:spa con@s:spa identical (.) triplets . _,1,0,0,1,0,0,0,0,0,0,0,hoping it'll take and then they put the embryo in in fact I was watching las noticias y había una mujer que salió con identical triplets
41,*MAR:y@s:spa había@s:spa una@s:spa mujer@s:spa que@s:spa salió@s:spa con@s:spa identical (.) triplets . _*MAR:in fact I was watching (.) las@s:spa noticias@s:spa . _*MAR:because normally they don't . _*MAR:pero@s:spa ellos@s:spa no@s:spa querían@s:spa multiple kids . _*MAR:so they only put one egg in . _*MAR:the thing split [=! laughs] . _,1,1,0,0,0,0,0,0,0,0,0,pero ellos no querían multiple kids so they only put one egg in the thing split
42,*MAR:and he said no@s:eng&spa [/] no@s:eng&spa [/] no@s:eng&spa they didn't want that . _*MAR:and they'll get two boys a boy and a girl two girls whatever it is . _*OSE:+< www .*MAR:because <that's why you see people> [//] that's why you see so many twins now because people do multiple eggs . _*MAR:+< [- spa] y cayeron tr(es) idén(ticos) [=! laughs] +/. _*OSE:+< www .*MAR:[- spa] tres idénticos [=! laughs] . _,1,1,0,0,0,0,0,0,0,0,0,and he said no no no they didn't want that and they'll get two boys a boy and a girl two girls whatever it is because that's why you see people that's why you see so many twins now because people do multiple eggs y cayeron tres idénticos tres idénticos
43,"*MAR:<se@s:spa le@s:spa pintan@s:spa las@s:spa uñas@s:spa> [///] like each of them have a different colored nail painted so they can tell them apart because they're identical [=! laughs] . _*MAR:[- spa] tres idénticos [=! laughs] . _*OSE:+< www .*MAR:[- spa] y dice el marido +""/. _*MAR:+"" here they were doing everything right . _*MAR:+"" we only want one kid . _",0,0,1,0,0,0,0,0,0,0,0,y dice el marido here they were doing everything right we only want one kid
44,*MAR:cómo@s:spa xxx . _*OSE:www .*MAR:+< [- spa] ya gasta &=bang &=laughs ! _*MAR:oh@s:eng&spa no@s:eng&spa I don't like the baby blue . _*MAR:<why do they> [///] el@s:spa suéter@s:spa de@s:spa Ramona@s:spa . _*MAR:Pam@s:eng&spa dio@s:spa esa@s:spa opción@s:spa ? _,1,0,0,0,0,0,0,0,0,1,0,cómo ya gasta bang oh no I don't like the baby blue why do they el suéter de Ramona Pam dio esa opción
45,*MAR:[- spa] lo había cambia(do) +/. _*OSE:+< www .*MAR:[- spa] las mías todas vinieron azules . _*OSE:www .*MAR:oye@s:spa gracias@s:spa Katie@s:eng&spa te@s:spa lo@s:spa agradezco@s:spa (be)cause I hate that one . _,1,0,0,0,0,0,0,0,0,1,0,lo había cambiado las mías todas vinieron azules oye gracias Katie te lo agradezco because I hate that one
46,*MAR:I think it's black . _*MAR:I'll have to bring my tee [//] black tee shirt again because <I think> [/] I think it's this color . _*OSE:+< www .*MAR:[- spa] &=coughs no me gustó . _*MAR:[- spa] yo pensé que lo Ramona era por equivocación . _,1,0,0,0,0,0,0,0,0,0,0,I think it's black I'll have to bring my tee black tee shirt again because I think I think it's this color no me gustó yo pensé que lo Ramona era por equivocación
47,"*MAR:then he goes +""/. _*OSE:www .*MAR:+"" [- spa] María te lo va a tirar por la cabeza [=! laughs] ! _*MAR:ay@s:spa porque@s:spa es@s:spa la@s:spa Julia@s:eng&spa [?] <I know> [/] I know . _*OSE:www .*MAR:+"" I had one of the best pregnancies ever [=! reads] . _",1,1,1,0,0,0,0,1,1,1,0,then he goes María te lo va a tirar por la cabeza ay porque es la Julia I know I know I had one of the best pregnancies ever
48,*MAR:[- spa] tú ves +/? _*MAR:tú@s:spa ves@s:spa a@s:spa Katie@s:eng&spa en@s:spa un@s:spa P_T_A meeting ? _*OSE:www .*MAR:they find something else . _*MAR:+< [- spa] ay dios mío . _*MAR:&=laughs . _*OSE:www .,1,0,0,0,0,0,1,1,0,1,0,tú ves tú ves a Katie en un P T A meeting they find something else ay dios mío
49,*MAR:enfrente@s:spa de@s:spa South@s:eng&spa Motors@s:eng&spa . _*OSE:www .*MAR:damn ! _*MAR:but (.) this is at the dealer . _*MAR:yeah (.) South@s:eng&spa Motor@s:eng&spa . _*OSE:www .*MAR:ahí@s:spa te@s:spa mando@s:spa el@s:spa [/] el@s:spa número@s:spa de@s:spa Joanna@s:eng&spa Toole@s:eng&spa . _,1,0,0,0,0,0,0,0,0,1,1,enfrente de South Motors damn but this is at the dealer yeah South Motor ahí te mando el el número de Joanna Toole
50,*MAR:she is not a cling new one . _*MAR:ay@s:spa is very pretty . _*MAR:[- spa] a ver ? _*MAR:[- spa] qué es eso ? _*OSE:www .*MAR:ah@s:eng&spa te@s:spa dijo@s:spa que@s:spa sí@s:spa ? _,1,0,0,0,0,0,1,0,1,0,1,she is not a cling new one ay is very pretty a ver qué es eso ah te dijo que sí
51,*MAR:en@s:spa el@s:spa xxx right ? _*OSE:www .*MAR:es@s:spa en@s:spa Boca@s:eng&spa right ? _*MAR:déjame@s:spa ponerme@s:spa <en@s:spa mi@s:spa> [/] en@s:spa mi@s:spa calendar . _*MAR:porque@s:spa you know me [///] I forget things . _,1,0,0,1,0,0,1,0,0,0,0,en el right es en Boca right déjame ponerme en mi en mi calendar porque you know me I forget things
52,*MAR:[- spa] menos de precio que nos habían xxx . _*OSE:www .*MAR:no you don't have to look it up . _*OSE:www .*MAR:ah@s:eng&spa o_k@s:spa . _*MAR:oh@s:eng&spa <that &i> [//] th(at) [/] that's not Sonia@s:eng&spa . _*MAR:you are not a clingy . _,1,0,0,0,0,1,0,0,0,0,0,menos de precio que nos habían no you don't have to look it up ah o k oh that i that that's not Sonia you are not a clingy
53,*MAR:ah@s:eng&spa o_k@s:spa . _*OSE:www .*MAR:&=laughs . _*OSE:www .*MAR:as Maria@s:eng&spa and Hannah@s:eng&spa . _*OSE:www .*MAR:&=laughs qué@s:spa descara(da)@s:spa ! _,1,1,0,0,0,0,0,0,0,1,1,ah o k as Maria and Hannah qué descarada
54,*OSE:www .*MAR:so how old are you ? _*OSE:www .*MAR:is it her own candy she's degraded to ? _*MAR:oh@s:eng&spa qué@s:spa vieja@s:spa estás@s:spa . _*OSE:www .*MAR:I agree . _,1,0,0,0,0,0,1,0,0,0,1,so how old are you is it her own candy she's degraded to oh qué vieja estás I agree
55,"*MAR:eh you know . _*MAR:because she said . _*MAR:anyway my father used to tease her . _*MAR:decía@s:spa +""/. _*MAR:+"" Cristina@s:spa por@s:spa favor@s:spa . _",1,0,1,0,0,0,0,1,0,0,0,eh you know because she said anyway my father used to tease her decía Cristina por favor
56,*MAR:thank you . _*MAR:very nice . _*OSE:www .*MAR:she likes those things . _*MAR:something that you need me to find to for you o@s:spa no@s:spa ? _*OSE:www .*MAR:mhm right right right . _*OSE:www .,1,0,0,0,0,0,1,0,0,0,0,thank you very nice she likes those things something that you need me to find to for you o no mhm right right right
57,*MAR:I always +//. _*MAR:I know . _*OSE:www .*MAR:they were <in a> [/] in a una@s:spa caja@s:spa una@s:spa jaula@s:spa . _*OSE:www .*MAR:a chlorified [?] cage . _,0,0,0,1,1,0,0,0,0,0,0,I always I know they were in a in a una caja una jaula a chlorified cage
58,*MAR:I [///] well I get form different ones . _*OSE:www .*MAR:that they have eighteen million dollar of money in a box +/. _*MAR:you know +... _*MAR:ay@s:spa [=! sigh] . _*MAR:you know . _*MAR:you don't need no +//. _,0,0,0,0,0,0,1,1,0,0,0,I well I get form different ones that they have eighteen million dollar of money in a box you know ay you know you don't need no
59,*MAR:you know . _*MAR:I [/] I +//. _*MAR:you know ? _*MAR:dígame@s:spa . _*OSE:www .*MAR:service county . _*MAR:there's no colour . _,1,0,0,0,0,1,0,0,0,0,0,you know I I you know dígame service county there's no colour
60,*MAR:did I write the [/] the [/] letter xxx ? _*MAR:I guess &may +//. _*MAR:I don't know . _*MAR:uh@s:eng but I guess Joan@s:spa sent it to me . _*MAR:ahí@s:spa está@s:spa . _*OSE:www .,1,0,0,0,0,0,0,0,0,0,0,did I write the the letter I guess may I don't know uh but I guess Joan sent it to me ahí está
61,*OSE:www .*MAR:so that's why he called . _*MAR:oh@s:eng&spa he saw that . _*MAR:bueno@s:spa pero@s:spa es@s:spa not only that . _*MAR:[- spa] nosotros no somos los únicos . _,1,0,0,0,0,0,0,0,0,0,0,so that's why he called oh he saw that bueno pero es not only that nosotros no somos los únicos
62,*OSE:www .*MAR:[- spa] mandaron algo . _*MAR:I think he [///] I think Jeff@s:eng may be right . _*MAR:mira@s:spa hasta@s:spa ahora@s:spa . _*MAR:porque@s:spa it says due date January . _,1,0,0,0,0,1,0,0,0,0,0,mandaron algo I think he I think Jeff may be right mira hasta ahora porque it says due date January
63,*MAR:and they faxed it . _*MAR:and they usually say pro eighth . _*MAR:pro ninth . _*MAR:[- spa] mira allá . _*MAR:Pérez@s:eng&spa [///] a@s:spa Pérez@s:eng&spa . _*MAR:xxx who's been doing +//. _,1,0,0,0,0,1,0,0,0,1,0,and they faxed it and they usually say pro eighth pro ninth mira allá Pérez a Pérez who's been doing
64,*MAR:I don't either but I +/. _*OSE:+< www .*MAR:I don't know who they are . _*MAR:right . _*MAR:+< [- spa] como &nos +/. _*MAR:[- spa] exacto . _,1,0,0,0,0,0,0,0,0,0,0,I don't either but I I don't know who they are right como nos exacto
65,*OSE:www .*MAR:they're mostly engineers . _*MAR:pero@s:spa ve(s)@s:spa [///] why xxx . _*MAR:para@s:spa mí@s:spa es@s:spa (.) something . _*OSE:+< www .*MAR:which means we need to be diligent . _,1,0,0,0,0,1,0,0,0,0,0,they're mostly engineers pero ves why para mí es something which means we need to be diligent
66,"*MAR:it would be nice to find out when the presentations are . _*OSE:www .*MAR:right . _*OSE:www .*MAR:xxx . _*MAR:+, you or I or Hannah@s:eng&spa or something can go just to [/] to see how other people do things . _*MAR:[- spa] le digo +""/. _*MAR:+"" pero@s:spa Jeff@s:eng&spa (.) ellos@s:spa estaban@s:spa ? _",1,0,1,0,0,0,0,0,0,1,0,it would be nice to find out when the presentations are right you or I or Hannah or something can go just to to see how other people do things le digo pero Jeff ellos estaban
67,"*MAR:+"" es@s:spa un@s:spa public fail form . _*MAR:[- spa] y me dice +""/. _*MAR:en@s:spa xxx county tienen@s:spa ese@s:spa salón@s:spa grande@s:spa . _*MAR:so is very easy to hang out . _*MAR:pero@s:spa en@s:spa xxx county no@s:spa es@s:spa tan@s:spa comfy como@s:spa eso@s:spa . _",1,0,1,1,0,0,0,0,0,0,0,es un public fail form y me dice en county tienen ese salón grande so is very easy to hang out pero en county no es tan comfy como eso
68,"*MAR:no@s:spa es@s:spa como@s:spa el@s:spa de@s:spa xxx que@s:spa lo@s:spa hacen@s:spa in a big trailer . _*OSE:+< www .*MAR:o@s:spa sea@s:spa there's no (.) audience (.) space . _*MAR:[- spa] pero me dice eh +/. _*MAR:+"" it's a public +/. _*OSE:www .",1,0,1,0,0,0,0,0,0,0,0,no es como el de que lo hacen in a big trailer o sea there's no audience space pero me dice eh it's a public
69,"*MAR:[- spa] yo sé que yo he venido +//. _*MAR:[- spa] pareciera lo más probable . _*MAR:[- spa] yo dije +""/. _*MAR:+"" I have been una@s:spa de@s:spa las@s:spa primeras@s:spa que@s:spa he@s:spa venido@s:spa . _",1,0,1,0,0,0,0,0,0,0,0,yo sé que yo he venido pareciera lo más probable yo dije I have been una de las primeras que he venido
